URL,Attack_Type,Label
http://secure-update-20301.com,Phishing,Attack
http://free-file-3971.xyz,Malware,Attack
https://www.github.com,None,Normal
http://secure-secure-7372.com,Phishing,Attack
https://www.wikipedia.org,None,Normal
https://www.microsoft.com,None,Normal
http://software-file-20506.xyz,Malware,Attack
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
https://www.apple.com,None,Normal
https://www.wikipedia.org,None,Normal
http://example.com/search?q=<script>alert(1)</script>,XSS,Attack
https://www.linkedin.com,None,Normal
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
https://www.facebook.com,None,Normal
http://secure-login-15976.com,Phishing,Attack
https://www.apple.com,None,Normal
https://www.apple.com,None,Normal
http://example.com/run?cmd=ping&& rm -rf /,CMD Injection,Attack
https://www.amazon.in,None,Normal
https://www.amazon.in,None,Normal
http://secure-secure-4856.com,Phishing,Attack
http://crack-file-18544.xyz,Malware,Attack
http://example.com/login?id=UNION SELECT password FROM users,SQL Injection,Attack
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
http://secure-update-6647.com,Phishing,Attack
http://example.com/login?id=UNION SELECT password FROM users,SQL Injection,Attack
http://example.com/search?q=<script>alert(1)</script>,XSS,Attack
https://www.facebook.com,None,Normal
https://www.google.com,None,Normal
http://secure-update-14186.com,Phishing,Attack
http://example.com/search?q=<script>alert(1)</script>,XSS,Attack
https://www.google.com,None,Normal
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
http://example.com/search?q=<script>alert(1)</script>,XSS,Attack
https://www.apple.com,None,Normal
https://www.google.com,None,Normal
https://www.github.com,None,Normal
http://example.com/run?cmd=ping&& rm -rf /,CMD Injection,Attack
http://example.com/login?id=' OR '1'='1,SQL Injection,Attack
https://www.microsoft.com,None,Normal
http://example.com/login?id=UNION SELECT password FROM users,SQL Injection,Attack
http://secure-secure-15448.com,Phishing,Attack
http://software-file-2716.xyz,Malware,Attack
http://example.com/login?id=' OR '1'='1,SQL Injection,Attack
https://www.linkedin.com,None,Normal
https://www.microsoft.com,None,Normal
https://www.github.com,None,Normal
https://www.google.com,None,Normal
https://www.wikipedia.org,None,Normal
https://www.linkedin.com,None,Normal
https://www.apple.com,None,Normal
https://www.facebook.com,None,Normal
https://www.google.com,None,Normal
https://www.wikipedia.org,None,Normal
https://www.linkedin.com,None,Normal
http://free-file-23508.xyz,Malware,Attack
https://www.wikipedia.org,None,Normal
http://example.com/login?id=' OR '1'='1,SQL Injection,Attack
http://example.com/run?cmd=ping&& rm -rf /,CMD Injection,Attack
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
https://www.microsoft.com,None,Normal
https://www.google.com,None,Normal
https://www.linkedin.com,None,Normal
http://example.com/login?id=' OR '1'='1,SQL Injection,Attack
https://www.linkedin.com,None,Normal
https://www.github.com,None,Normal
http://secure-secure-5459.com,Phishing,Attack
https://www.linkedin.com,None,Normal
https://www.microsoft.com,None,Normal
http://example.com/run?cmd=ping&& rm -rf /,CMD Injection,Attack
https://www.apple.com,None,Normal
http://example.com/run?cmd=ping;ls,CMD Injection,Attack
https://www.facebook.com,None,Normal
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
https://www.facebook.com,None,Normal
https://www.microsoft.com,None,Normal
https://www.apple.com,None,Normal
http://secure-secure-9392.com,Phishing,Attack
https://www.microsoft.com,None,Normal
http://secure-account-16803.com,Phishing,Attack
https://www.github.com,None,Normal
https://www.github.com,None,Normal
http://example.com/run?cmd=ping;ls,CMD Injection,Attack
http://free-file-17220.xyz,Malware,Attack
https://www.github.com,None,Normal
https://www.google.com,None,Normal
http://example.com/search?q=<script>alert(1)</script>,XSS,Attack
http://example.com/search?q=<script>alert(1)</script>,XSS,Attack
http://example.com/login?id=UNION SELECT password FROM users,SQL Injection,Attack
https://www.apple.com,None,Normal
https://www.microsoft.com,None,Normal
http://example.com/login?id=' OR '1'='1,SQL Injection,Attack
http://example.com/run?cmd=ping&& rm -rf /,CMD Injection,Attack
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
http://secure-account-6141.com,Phishing,Attack
https://www.wikipedia.org,None,Normal
https://www.linkedin.com,None,Normal
https://www.apple.com,None,Normal
https://www.facebook.com,None,Normal
https://www.google.com,None,Normal
https://www.google.com,None,Normal
http://secure-login-13630.com,Phishing,Attack
http://secure-login-11666.com,Phishing,Attack
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
http://example.com/run?cmd=ping;ls,CMD Injection,Attack
https://www.linkedin.com,None,Normal
https://www.apple.com,None,Normal
http://secure-account-5240.com,Phishing,Attack
https://www.microsoft.com,None,Normal
http://example.com/run?cmd=ping;ls,CMD Injection,Attack
https://www.github.com,None,Normal
http://example.com/run?cmd=ping;ls,CMD Injection,Attack
https://www.facebook.com,None,Normal
https://www.wikipedia.org,None,Normal
https://www.wikipedia.org,None,Normal
https://www.linkedin.com,None,Normal
https://www.microsoft.com,None,Normal
http://example.com/search?q=<script>alert(1)</script>,XSS,Attack
http://secure-verify-18463.com,Phishing,Attack
http://free-file-19419.xyz,Malware,Attack
http://example.com/search?q=<script>alert(1)</script>,XSS,Attack
https://www.github.com,None,Normal
http://example.com/login?id=UNION SELECT password FROM users,SQL Injection,Attack
https://www.microsoft.com,None,Normal
https://www.wikipedia.org,None,Normal
http://secure-verify-7616.com,Phishing,Attack
https://www.facebook.com,None,Normal
https://www.github.com,None,Normal
https://www.facebook.com,None,Normal
https://www.github.com,None,Normal
https://www.amazon.in,None,Normal
http://example.com/search?q=%3Cscript%3Ealert(1)%3C/script%3E,XSS,Attack
